,Country/Region,Confirmed,Deaths,fatality_ratio,risk_group
0,Afghanistan,1005001,20790,2.068654658055067,0
1,Albania,97617,3015,3.0886013706628965,0
2,Algeria,623538,50022,8.022285730781444,0
3,Andorra,70902,4019,5.668387351555668,0
4,Angola,6948,361,5.195739781232009,0
5,Antigua and Barbuda,2480,245,9.879032258064516,0
6,Argentina,1450913,41977,2.8931438342615996,0
7,Armenia,713022,11296,1.5842428424368393,0
8,Australia,664552,8153,1.226841541369223,0
9,Austria,1518134,52258,3.4422521332109026,0
10,Azerbaijan,465390,5632,1.2101678162401426,0
11,Bahamas,7710,906,11.750972762645914,0
12,Bahrain,842470,2021,0.23988984770971075,0
13,Bangladesh,3638796,50142,1.3779832669927086,0
14,Barbados,7883,549,6.9643536724597235,0
15,Belarus,2667791,15641,0.5862903053500068,0
16,Belgium,4572731,699347,15.293858309181099,0
17,Belize,1620,168,10.37037037037037,0
18,Benin,25569,362,1.4157769173608665,0
19,Bhutan,2671,0,0.0,0
20,Bolivia,767912,26484,3.448832678744439,0
21,Bosnia and Herzegovina,200217,10076,5.0325396944315415,0
22,Botswana,3498,92,2.630074328187536,0
23,Brazil,37191145,1929969,5.1893239640780084,2
24,Brunei,14361,145,1.009678991713669,0
25,Bulgaria,200925,9967,4.960557421923603,0
26,Burkina Faso,68264,4152,6.082268838626509,0
27,Burma,16261,477,2.933398929955107,0
28,Burundi,4293,79,1.840204984859073,0
29,Cabo Verde,34290,339,0.9886264216972878,0
30,Cambodia,12526,0,0.0,0
31,Cameroon,436151,12688,2.9090842391740477,0
32,Canada,6366891,461010,7.240739632577345,0
33,Central African Republic,82589,569,0.6889537347588662,0
34,Chad,40310,3509,8.70503597122302,0
35,Chile,8358633,120575,1.442520565264679,0
36,China,11788398,546123,4.632715997542668,2
37,Colombia,2346016,79561,3.3913238443386575,0
38,Comoros,7078,148,2.0909861542808703,0
39,Congo (Brazzaville),41081,1416,3.446848908254424,0
40,Congo (Kinshasa),210027,5742,2.7339342084589124,0
41,Costa Rica,105869,762,0.7197574360766608,0
42,Cote d'Ivoire,262047,2444,0.9326571187611383,0
43,Croatia,194533,7134,3.667244117964561,0
44,Cuba,150837,5806,3.849188196530029,0
45,Cyprus,79510,1449,1.8224122751855112,0
46,Czechia,780853,23727,3.0386000950242873,0
47,Denmark,947309,44141,4.659620039501366,0
48,Djibouti,202835,1495,0.7370522838760569,0
49,Dominica,1573,0,0.0,0
50,Dominican Republic,1220435,37158,3.044652111747041,0
51,Ecuador,2796689,208703,7.462502981203844,0
52,Egypt,1901382,80661,4.242230125245743,0
53,El Salvador,169535,3629,2.140560946117321,0
54,Equatorial Guinea,71411,888,1.2435059024520032,0
55,Eritrea,5384,0,0.0,0
56,Estonia,162158,4963,3.06059522194403,0
57,Eswatini,22837,222,0.9721066690020581,0
58,Ethiopia,122141,1915,1.5678600961184206,0
59,Fiji,1609,0,0.0,0
60,Finland,515900,21466,4.160883892227176,0
61,France,15531035,2236998,14.403405825819076,2
62,Gabon,164316,1255,0.7637722437255046,0
63,Gambia,1964,111,5.651731160896131,0
64,Georgia,57924,853,1.4726192942476348,0
65,Germany,15630242,626419,4.007737052311794,2
66,Ghana,560491,3130,0.5584389401435527,0
67,Greece,258977,13952,5.387351000281878,0
68,Greenland,1155,0,0.0,0
69,Grenada,1845,0,0.0,0
70,Guatemala,404296,14288,3.5340443635356276,0
71,Guinea,235979,1335,0.5657283063323432,0
72,Guinea-Bissau,72825,600,0.8238928939237898,0
73,Guyana,10718,879,8.201156932263482,0
74,Haiti,150331,2980,1.9822924080861566,0
75,Holy See,1032,0,0.0,0
76,Honduras,418105,15624,3.7368603580440323,0
77,Hungary,280760,35038,12.479697962672745,0
78,Iceland,171668,871,0.5073747000023301,0
79,India,14498150,440653,3.0393739890951603,2
80,Indonesia,1934972,117375,6.065979249312135,0
81,Iran,12260835,665301,5.426229127135305,2
82,Iraq,893081,32065,3.590379819971537,0
83,Ireland,1878785,114725,6.106340001650003,0
84,Israel,1507132,21300,1.4132803231568303,0
85,Italy,20172357,2763315,13.698523181996036,2
86,Jamaica,40534,735,1.8132925445305177,0
87,Japan,1317720,58967,4.474926388003522,0
88,Jordan,61552,763,1.2396022874967507,0
89,Kazakhstan,727523,4417,0.6071285718802018,0
90,Kenya,156230,4832,3.0928758881136784,0
91,Kosovo,91315,2223,2.4344302688495865,0
92,Kuwait,1608281,12412,0.7717556819983573,0
93,Kyrgyzstan,138142,1534,1.1104515643323538,0
94,Laos,1712,0,0.0,0
95,Latvia,86799,1633,1.881358080162214,0
96,Lebanon,97917,2459,2.5113105997937026,0
97,Lesotho,301,0,0.0,0
98,Liberia,24411,1851,7.582647167260662,0
99,Libya,17828,456,2.5577742876374243,0
100,Liechtenstein,8068,89,1.1031234506693108,0
101,Lithuania,137524,4878,3.547017247898548,0
102,Luxembourg,361188,8633,2.3901680011517548,0
103,Madagascar,56426,395,0.7000319001878567,0
104,Malawi,22649,377,1.6645326504481435,0
105,Malaysia,640709,9676,1.5102019793697294,0
106,Maldives,97967,345,0.35215940061449263,0
107,Mali,86395,4972,5.754962671450895,0
108,Malta,49203,522,1.0609109200658497,0
109,Mauritania,71357,2786,3.9043121207449865,0
110,Mauritius,30202,891,2.9501357525991656,0
111,Mexico,6490426,747693,11.519937212133687,0
112,Moldova,619602,20558,3.317936352690921,0
113,Monaco,9033,317,3.5093545887302118,0
114,Mongolia,10116,0,0.0,0
115,Montenegro,29848,678,2.271508978826052,0
116,Morocco,563374,16111,2.8597343860384044,0
117,Mozambique,23386,115,0.49174719917899595,0
118,Namibia,2966,0,0.0,0
119,Nepal,224735,627,0.2789952610852782,0
120,Netherlands,3774135,456188,12.087219985506612,0
121,New Zealand,134244,1587,1.1821757396978636,0
122,Nicaragua,56407,2283,4.047370007268601,0
123,Niger,72447,4100,5.659309564233164,0
124,Nigeria,722412,19384,2.683233390364501,0
125,North Macedonia,214876,10663,4.962396917291834,0
126,Norway,765741,18830,2.459055999352261,0
127,Oman,955703,4261,0.4458498089887758,0
128,Pakistan,6030785,122077,2.0242306764376448,0
129,Panama,1088066,25492,2.342872583096981,0
130,Papua New Guinea,660,0,0.0,0
131,Paraguay,69372,931,1.3420400161448423,0
132,Peru,10206048,303128,2.9700820533079995,2
133,Philippines,1375066,68213,4.960707340593106,0
134,Poland,1710982,75231,4.396948652878873,0
135,Portugal,2591941,101737,3.9251279253655853,0
136,Qatar,3565742,3162,0.08867719537756798,0
137,Romania,1425372,87843,6.162812234279894,0
138,Russia,25496391,307758,1.207064952839796,2
139,Rwanda,33110,61,0.1842343702808819,0
140,Saint Kitts and Nevis,1325,0,0.0,0
141,Saint Lucia,1631,0,0.0,0
142,Saint Vincent and the Grenadines,1748,0,0.0,0
143,San Marino,56084,3952,7.046572997646387,0
144,Sao Tome and Principe,26607,580,2.1798774758522192,0
145,Saudi Arabia,5998212,43680,0.7282170086685832,0
146,Senegal,243092,3006,1.2365688710447074,0
147,Serbia,858028,17736,2.0670654104528055,0
148,Seychelles,1311,0,0.0,0
149,Sierra Leone,51305,2462,4.798752558230192,0
150,Singapore,2237124,1725,0.07710792964538399,0
151,Slovakia,124589,1936,1.553909253625922,0
152,Slovenia,135860,8296,6.10628588252613,0
153,Somalia,123648,4512,3.6490683229813663,0
154,South Africa,3017062,59332,1.9665489141423014,0
155,South Korea,1281241,25663,2.002979923371169,0
156,South Sudan,61409,896,1.459069517497435,0
157,Spain,20413319,2266024,11.1007132157196,2
158,Sri Lanka,99654,808,0.8108053866377666,0
159,Sudan,303270,17570,5.793517327793715,0
160,Suriname,8107,226,2.7877143209571975,0
161,Sweden,2932375,298910,10.193443880813334,0
162,Switzerland,2802592,154689,5.519497665018668,0
163,Syria,8602,383,4.452452917926063,0
164,Taiwan*,43347,651,1.501834036957575,0
165,Tajikistan,203850,2416,1.1851851851851851,0
166,Tanzania,35584,1418,3.9849370503597124,0
167,Thailand,279256,4723,1.6912796860228607,0
168,Timor-Leste,1839,0,0.0,0
169,Togo,27227,881,3.2357586219561467,0
170,Trinidad and Tobago,11299,733,6.4872997610408,0
171,Tunisia,91421,3900,4.265978276326008,0
172,Turkey,12108262,320381,2.645970164834557,2
173,US,130985437,7308387,5.579541640190123,1
174,Uganda,29095,0,0.0,0
175,Ukraine,1695375,46868,2.764462139644621,0
176,United Arab Emirates,2174986,16400,0.7540278420182934,0
177,United Kingdom,18842212,2782526,14.767512434315035,2
178,Uruguay,66847,1616,2.4174607686208804,0
179,Uzbekistan,290317,1080,0.372007150804121,0
180,Venezuela,132418,1482,1.119183192617318,0
181,Vietnam,30351,0,0.0,0
182,West Bank and Gaza,48130,227,0.4716393102015375,0
183,Western Sahara,631,36,5.705229793977813,0
184,Yemen,27410,6724,24.531192995257207,0
185,Zambia,60608,622,1.0262671594508976,0
186,Zimbabwe,14638,361,2.4661839049050416,0
